name,slug,universityName,city,state,roomType,bathroomType,yearBuilt,capacity,officialPageUrl,sourceUrl,seasonYear,lastVerifiedAt
Wilbur Hall,wilbur-hall,Stanford University,Stanford,CA,,,,,https://rde.stanford.edu/studenthousing/wilbur,https://rde.stanford.edu/studenthousing,2025-2026,2026-04-29
Stern Hall,stern-hall,Stanford University,Stanford,CA,,,,,https://rde.stanford.edu/studenthousing/stern,https://rde.stanford.edu/studenthousing,2025-2026,2026-04-29
Toyon Hall,toyon-hall,Stanford University,Stanford,CA,,,,,https://rde.stanford.edu/studenthousing/toyon,https://rde.stanford.edu/studenthousing,2025-2026,2026-04-29
Florence Moore Hall,florence-moore-hall,Stanford University,Stanford,CA,,,,,https://rde.stanford.edu/studenthousing/florence-moore,https://rde.stanford.edu/studenthousing,2025-2026,2026-04-29
Jester West Residence Hall,jester-west-residence-hall,University of Texas at Austin,Austin,TX,,,,,https://housing.utexas.edu/halls/jester-west,https://housing.utexas.edu,2025-2026,2026-04-29
Kinsolving Residence Hall,kinsolving-residence-hall,University of Texas at Austin,Austin,TX,,,,,https://housing.utexas.edu/halls/kinsolving,https://housing.utexas.edu,2025-2026,2026-04-29
San Jacinto Residence Hall,san-jacinto-residence-hall,University of Texas at Austin,Austin,TX,,,,,https://housing.utexas.edu/halls/san-jacinto,https://housing.utexas.edu,2025-2026,2026-04-29
South Quad Residence Hall,south-quad-residence-hall,University of Michigan,Ann Arbor,MI,,,,,https://housing.umich.edu/undergraduate/communities/south-quad,https://housing.umich.edu,2025-2026,2026-04-29
Bursley Hall,bursley-hall,University of Michigan,Ann Arbor,MI,,,,,https://housing.umich.edu/undergraduate/communities/bursley,https://housing.umich.edu,2025-2026,2026-04-29
Mary Markley Hall,mary-markley-hall,University of Michigan,Ann Arbor,MI,,,,,https://housing.umich.edu/undergraduate/communities/markley,https://housing.umich.edu,2025-2026,2026-04-29
Park-Stradley Hall,park-stradley-hall,Ohio State University,Columbus,OH,,,,,https://housing.osu.edu,https://housing.osu.edu,2025-2026,2026-04-29
Morrill Tower,morrill-tower,Ohio State University,Columbus,OH,,,,,https://housing.osu.edu,https://housing.osu.edu,2025-2026,2026-04-29
Tutwiler Hall,tutwiler-hall,University of Alabama,Tuscaloosa,AL,,,,,https://housing.ua.edu/communities/tutwiler-hall,https://housing.ua.edu,2025-2026,2026-04-29
Ridgecrest South,ridgecrest-south,University of Alabama,Tuscaloosa,AL,,,,,https://housing.ua.edu/communities/ridgecrest-south,https://housing.ua.edu,2025-2026,2026-04-29
Broward Hall,broward-hall,University of Florida,Gainesville,FL,,,,,https://housing.ufl.edu/halls/broward,https://housing.ufl.edu,2025-2026,2026-04-29
Beaty Towers,beaty-towers,University of Florida,Gainesville,FL,,,,,https://housing.ufl.edu/halls/beaty-towers,https://housing.ufl.edu,2025-2026,2026-04-29
Edens Quad,edens-quad,Duke University,Durham,NC,,,,,https://studentaffairs.duke.edu/hdrl/housing/quads,https://studentaffairs.duke.edu/hdrl,2025-2026,2026-04-29
Crowell Quad,crowell-quad,Duke University,Durham,NC,,,,,https://studentaffairs.duke.edu/hdrl/housing/quads,https://studentaffairs.duke.edu/hdrl,2025-2026,2026-04-29
West Laville Hall,west-laville-hall,Louisiana State University,Baton Rouge,LA,,,,,https://www.lsu.edu/housing,https://www.lsu.edu/housing,2025-2026,2026-04-29
Couch Center,couch-center,University of Oklahoma,Norman,OK,,,,,https://housing.ou.edu,https://housing.ou.edu,2025-2026,2026-04-29
Oliver Hall,oliver-hall,University of Kansas,Lawrence,KS,,,,,https://housing.ku.edu,https://housing.ku.edu,2025-2026,2026-04-29
Templin Hall,templin-hall,University of Kansas,Lawrence,KS,,,,,https://housing.ku.edu,https://housing.ku.edu,2025-2026,2026-04-29
Tower A,tower-a,University of Pittsburgh,Pittsburgh,PA,,,,,,https://studentaffairs.pitt.edu/housing,2025-2026,2026-04-29
Tower B,tower-b,University of Pittsburgh,Pittsburgh,PA,,,,,,https://studentaffairs.pitt.edu/housing,2025-2026,2026-04-29
Tower C,tower-c,University of Pittsburgh,Pittsburgh,PA,,,,,,https://studentaffairs.pitt.edu/housing,2025-2026,2026-04-29
Day Hall,day-hall,Syracuse University,Syracuse,NY,,,,,,https://housing.syracuse.edu,2025-2026,2026-04-29
Flint Hall,flint-hall,Syracuse University,Syracuse,NY,,,,,,https://housing.syracuse.edu,2025-2026,2026-04-29
Threlkeld Hall,threlkeld-hall,University of Louisville,Louisville,KY,,,,,,https://louisville.edu/housing,2025-2026,2026-04-29
Bettie Johnson Hall,bettie-johnson-hall,University of Louisville,Louisville,KY,,,,,,https://louisville.edu/housing,2025-2026,2026-04-29
Buckley Hall,buckley-hall,University of Connecticut,Storrs,CT,,,,,,https://reslife.uconn.edu,2025-2026,2026-04-29
Hicks Hall,hicks-hall,University of Connecticut,Storrs,CT,,,,,,https://reslife.uconn.edu,2025-2026,2026-04-29
Centennial Place,centennial-place,University of Memphis,Memphis,TN,,,,,,https://www.memphis.edu/reslife,2025-2026,2026-04-29
Carpenter Complex,carpenter-complex,University of Memphis,Memphis,TN,,,,,,https://www.memphis.edu/reslife,2025-2026,2026-04-29
Monroe Hall,monroe-hall,Tulane University,New Orleans,LA,,,,,,https://housing.tulane.edu,2025-2026,2026-04-29
Sharp Hall,sharp-hall,Tulane University,New Orleans,LA,,,,,,https://housing.tulane.edu,2025-2026,2026-04-29
Morgan Hall,morgan-hall,Temple University,Philadelphia,PA,,,,,,https://housing.temple.edu,2025-2026,2026-04-29
1300 Residence Hall,1300-residence-hall,Temple University,Philadelphia,PA,,,,,,https://housing.temple.edu,2025-2026,2026-04-29
Bancroft Hall,bancroft-hall,United States Naval Academy,Annapolis,MD,,,,,,https://www.usna.edu,2025-2026,2026-04-29
Pershing Barracks,pershing-barracks,United States Military Academy,West Point,NY,,,,,,https://www.westpoint.edu,2025-2026,2026-04-29
MacArthur Barracks,macarthur-barracks,United States Military Academy,West Point,NY,,,,,,https://www.westpoint.edu,2025-2026,2026-04-29
Vandenberg Hall,vandenberg-hall,United States Air Force Academy,Colorado Springs,CO,,,,,,https://www.usafa.edu,2025-2026,2026-04-29
Sijan Hall,sijan-hall,United States Air Force Academy,Colorado Springs,CO,,,,,,https://www.usafa.edu,2025-2026,2026-04-29
Cary Quadrangle,cary-quadrangle,Purdue University,West Lafayette,IN,,,,,,https://www.purdue.edu/housing,2025-2026,2026-04-29
Earhart Hall,earhart-hall,Purdue University,West Lafayette,IN,,,,,,https://www.purdue.edu/housing,2025-2026,2026-04-29
Maya Hall,maya-hall,San Diego State University,San Diego,CA,,,,,,https://housing.sdsu.edu,2025-2026,2026-04-29
Zura Hall,zura-hall,San Diego State University,San Diego,CA,,,,,,https://housing.sdsu.edu,2025-2026,2026-04-29
Chaffee Hall,chaffee-hall,Boise State University,Boise,ID,,,,,,https://housing.boisestate.edu,2025-2026,2026-04-29
Driscoll Hall,driscoll-hall,Boise State University,Boise,ID,,,,,,https://housing.boisestate.edu,2025-2026,2026-04-29
University Courtyard,university-courtyard,Fresno State University,Fresno,CA,,,,,,https://www.fresnostate.edu/studentaffairs/housing,2025-2026,2026-04-29
Braiden Hall,braiden-hall,Colorado State University,Fort Collins,CO,,,,,,https://housing.colostate.edu,2025-2026,2026-04-29
Corbett Hall,corbett-hall,Colorado State University,Fort Collins,CO,,,,,,https://housing.colostate.edu,2025-2026,2026-04-29
Boaz Hall,boaz-hall,Southern Methodist University,Dallas,TX,,,,,,https://www.smu.edu,2025-2026,2026-04-29
Mary Hay Hall,mary-hay-hall,Southern Methodist University,Dallas,TX,,,,,,https://www.smu.edu,2025-2026,2026-04-29
Eagle Hall,eagle-hall,James Madison University,Harrisonburg,VA,,,,,,https://www.jmu.edu/orl,2025-2026,2026-04-29
Garber Hall,garber-hall,James Madison University,Harrisonburg,VA,,,,,,https://www.jmu.edu/orl,2025-2026,2026-04-29
Mountaineer Hall,mountaineer-hall,Appalachian State University,Boone,NC,,,,,,https://housing.appstate.edu,2025-2026,2026-04-29
Justice Hall,justice-hall,Appalachian State University,Boone,NC,,,,,,https://housing.appstate.edu,2025-2026,2026-04-29
Twin Towers East,twin-towers-east,Marshall University,Huntington,WV,,,,,,https://www.marshall.edu/housing,2025-2026,2026-04-29
Twin Towers West,twin-towers-west,Marshall University,Huntington,WV,,,,,,https://www.marshall.edu/housing,2025-2026,2026-04-29
Beta Hall,beta-hall,University of South Florida,Tampa,FL,,,,,,https://www.usf.edu/housing,2025-2026,2026-04-29
Cypress Suites,cypress-suites,University of South Florida,Tampa,FL,,,,,,https://www.usf.edu/housing,2025-2026,2026-04-29
Tonopah Complex,tonopah-complex,University of Nevada Las Vegas,Las Vegas,NV,,,,,,https://www.unlv.edu/housing,2025-2026,2026-04-29
Pearce-Ford Tower,pearce-ford-tower,Western Kentucky University,Bowling Green,KY,,,,,,https://www.wku.edu/housing,2025-2026,2026-04-29
Minton Hall,minton-hall,Western Kentucky University,Bowling Green,KY,,,,,,https://www.wku.edu/housing,2025-2026,2026-04-29
Henry C. Hopkins Hall,henry-c-hopkins-hall,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/,Male freshmen residence hall,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Thomas V. Morris Hall,thomas-v-morris-hall,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/,Male residence hall,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Clarence F. Stephens Hall,clarence-f-stephens-hall,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/,Male residence hall,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Harriett J. Terry Hall,harriett-j-terry-hall,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/,Female freshmen residence hall,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Ernest L. Knight Living and Learning Complex,ernest-l-knight-living-and-learning-complex,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/,Female freshmen living-learning complex,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Andrew and Abbiegail Hugine Living and Learning Complex,andrew-and-abbiegail-hugine-living-and-learning-complex,Alabama A&M University,Normal,AL,,,,,https://www.aamu.edu/campus-life/housing/residence-halls/hugine-complex.html,Co-ed living-learning complex for returning students,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Normal Hills Student Apartments,normal-hills-student-apartments,Alabama A&M University,Normal,AL,Apartment,,,500,https://www.aamu.edu/campus-life/housing/residence-halls/normal-hills-apartments.html,Apartment-style community for upperclassmen and graduate students,,https://www.aamu.edu/campus-life/housing/residence-halls/,Alabama A&M University Residential Life and Housing,,2026-05-16
Martin L. King Jr. Hall,martin-l-king-jr-hall,Alabama State University,Montgomery,AL,,,1990,212,https://www.alasu.edu/_qa/residencehalls.php,Male freshmen residence hall (five-story),,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
George N. Card Hall,george-n-card-hall,Alabama State University,Montgomery,AL,,,1962,118,https://www.alasu.edu/_qa/residencehalls.php,Male freshmen residence hall (restored 2009),,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
Charles Johnson Dunn Tower,charles-johnson-dunn-tower,Alabama State University,Montgomery,AL,Suite,,,480,https://www.alasu.edu/_qa/residencehalls.php,11-story suite-style residence hall,,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
Bessie S. Estell Hall,bessie-s-estell-hall,Alabama State University,Montgomery,AL,,,1990,212,https://www.alasu.edu/_qa/residencehalls.php,Female freshmen residence hall,,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
Bessie Benson Hall,bessie-benson-hall,Alabama State University,Montgomery,AL,,,1972,,https://www.alasu.edu/_qa/residencehalls.php,Upperclass female residence hall (restored 2009),,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
Bibb Graves Hall,bibb-graves-hall,Alabama State University,Montgomery,AL,,,,,https://www.alasu.edu/_qa/residencehalls.php,,,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
John W. Abercrombie Hall,john-w-abercrombie-hall,Alabama State University,Montgomery,AL,,,,,https://www.alasu.edu/_qa/residencehalls.php,,,https://www.alasu.edu/_qa/residencehalls.php,Alabama State University Housing & Residence Life,,2026-05-16
Concourse Hall,concourse-hall,Auburn University,Auburn,AL,,,,,https://studentaffairs.auburn.edu/housing/communities/concourse-hall.php,Auburn residence hall community,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
The Hill,the-hill,Auburn University,Auburn,AL,Suite,Shared,,,https://studentaffairs.auburn.edu/housing/communities/the-hill.php,Suite-style residence hall community,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
The Quad,the-quad,Auburn University,Auburn,AL,Suite,Shared,,,https://studentaffairs.auburn.edu/housing/communities/the-quad.php,Suite-style residence hall community,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
The Village,the-village,Auburn University,Auburn,AL,Apartment,Shared,,,https://studentaffairs.auburn.edu/housing/communities/the-village.php,Four-bedroom two-bath apartment-style community,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
South Donahue Hall,south-donahue-hall,Auburn University,Auburn,AL,Apartment,Shared,,,https://studentaffairs.auburn.edu/housing/communities/south-donahue.php,Apartment-style hall with one/two/four-bedroom units,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
160 Ross,160-ross,Auburn University,Auburn,AL,Apartment,,,,https://studentaffairs.auburn.edu/housing/communities/160-ross.php,Apartment community for returning residents,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
The Union,the-union,Auburn University,Auburn,AL,Apartment,,,,https://studentaffairs.auburn.edu/housing/communities/the-union.php,Apartment community for returning residents,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
191 College,191-college,Auburn University,Auburn,AL,Apartment,,,,https://studentaffairs.auburn.edu/housing/communities/191-college.php,Apartment community for returning residents,,https://studentaffairs.auburn.edu/housing/communities/,Auburn University Housing,,2026-05-16
New Men's Residence Hall,new-mens-residence-hall,Faulkner University,Montgomery,AL,,,,,https://www.faulkner.edu/housing/mens-housing/,Incoming freshman men's residence hall,,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Davis Residence Hall,davis-residence-hall,Faulkner University,Montgomery,AL,Suite,Shared,,,https://www.faulkner.edu/housing/mens-housing/,Suite of two double rooms sharing a bathroom; freshmen and upperclassmen men,,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Baldwin Residence Hall,baldwin-residence-hall,Faulkner University,Montgomery,AL,Single,Private,,,https://www.faulkner.edu/housing/mens-housing/,Sophomore and junior men; single rooms with private bathroom,,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Margaret Harris Residence Hall,margaret-harris-residence-hall,Faulkner University,Montgomery,AL,,Private,,,https://www.faulkner.edu/housing/womens-housing/,Three-story women's hall (57000 sqft, 76 rooms),,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Burton Residence Hall,burton-residence-hall,Faulkner University,Montgomery,AL,,Private,,,https://www.faulkner.edu/housing/womens-housing/,Sophomore and junior women,,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Harrison Apartments,harrison-apartments,Faulkner University,Montgomery,AL,Apartment,,,,https://www.faulkner.edu/housing/harrison-apartments/,Apartment-style student housing,,https://www.faulkner.edu/housing/,Faulkner University Housing,,2026-05-16
Crow Hall,crow-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,First-year male residence hall,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Curtiss Hall,curtiss-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,First-year male residence hall,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Daugette Hall,daugette-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Dixon Hall,dixon-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,First-year female residence hall,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Fitzpatrick Hall,fitzpatrick-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,First-year female residence hall,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Logan Hall,logan-hall,Jacksonville State University,Jacksonville,AL,,,,,https://www.jsu.edu/housing/communities/halls.html,,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
Meehan Hall,meehan-hall,Jacksonville State University,Jacksonville,AL,,,2010,,https://www.jsu.edu/housing/communities/halls.html,,,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
North Village,north-village,Jacksonville State University,Jacksonville,AL,,,2024,,https://www.jsu.edu/housing/communities/halls.html,Newest residence hall on campus (opened fall 2024),,https://www.jsu.edu/housing/communities/halls.html,Jacksonville State Office of Housing Operations & Residence Life,,2026-05-16
