name,slug,city,state,country,level,conference,officialWebsite,athleticsWebsite,sourceUrl,seasonYear,lastVerifiedAt
University of Alabama,university-of-alabama,Tuscaloosa,AL,USA,NCAA Division I,SEC,https://www.ua.edu,https://rolltide.com,https://rolltide.com,2025-2026,2026-04-29
University of Georgia,university-of-georgia,Athens,GA,USA,NCAA Division I,SEC,https://www.uga.edu,https://georgiadogs.com,https://georgiadogs.com,2025-2026,2026-04-29
University of Texas,university-of-texas,Austin,TX,USA,NCAA Division I,SEC,https://www.utexas.edu,https://texassports.com,https://texassports.com,2025-2026,2026-04-29
Texas A&M University,texas-am-university,College Station,TX,USA,NCAA Division I,SEC,https://www.tamu.edu,https://12thman.com,https://12thman.com,2025-2026,2026-04-29
Louisiana State University,louisiana-state-university,Baton Rouge,LA,USA,NCAA Division I,SEC,https://www.lsu.edu,https://lsusports.net,https://lsusports.net,2025-2026,2026-04-29
Ohio State University,ohio-state-university,Columbus,OH,USA,NCAA Division I,Big Ten,https://www.osu.edu,https://ohiostatebuckeyes.com,https://ohiostatebuckeyes.com,2025-2026,2026-04-29
University of Michigan,university-of-michigan,Ann Arbor,MI,USA,NCAA Division I,Big Ten,https://umich.edu,https://mgoblue.com,https://mgoblue.com,2025-2026,2026-04-29
Penn State University,penn-state-university,University Park,PA,USA,NCAA Division I,Big Ten,https://www.psu.edu,https://gopsusports.com,https://gopsusports.com,2025-2026,2026-04-29
University of Florida,university-of-florida,Gainesville,FL,USA,NCAA Division I,SEC,https://www.ufl.edu,https://floridagators.com,https://floridagators.com,2025-2026,2026-04-29
Florida State University,florida-state-university,Tallahassee,FL,USA,NCAA Division I,ACC,https://www.fsu.edu,https://seminoles.com,https://seminoles.com,2025-2026,2026-04-29
University of Southern California,university-of-southern-california,Los Angeles,CA,USA,NCAA Division I,Big Ten,https://www.usc.edu,https://usctrojans.com,https://usctrojans.com,2025-2026,2026-04-29
University of Oregon,university-of-oregon,Eugene,OR,USA,NCAA Division I,Big Ten,https://www.uoregon.edu,https://goducks.com,https://goducks.com,2025-2026,2026-04-29
University of Washington,university-of-washington,Seattle,WA,USA,NCAA Division I,Big Ten,https://www.washington.edu,https://gohuskies.com,https://gohuskies.com,2025-2026,2026-04-29
University of Oklahoma,university-of-oklahoma,Norman,OK,USA,NCAA Division I,SEC,https://www.ou.edu,https://soonersports.com,https://soonersports.com,2025-2026,2026-04-29
University of Notre Dame,university-of-notre-dame,Notre Dame,IN,USA,NCAA Division I,Independent,https://www.nd.edu,https://fightingirish.com,https://fightingirish.com,2025-2026,2026-04-29
University of Colorado,university-of-colorado,Boulder,CO,USA,NCAA Division I,Big 12,https://www.colorado.edu,https://cubuffs.com,https://cubuffs.com,2025-2026,2026-04-29
Arizona State University,arizona-state-university,Tempe,AZ,USA,NCAA Division I,Big 12,https://www.asu.edu,https://thesundevils.com,https://thesundevils.com,2025-2026,2026-04-29
University of Arizona,university-of-arizona,Tucson,AZ,USA,NCAA Division I,Big 12,https://www.arizona.edu,https://arizonawildcats.com,https://arizonawildcats.com,2025-2026,2026-04-29
