universityName,city,state,websiteUrl,housingUrl,dormCount
Miles College,Fairfield,AL,https://www.miles.edu,,0
Bakersfield College,Bakersfield,CA,https://www.bakersfieldcollege.edu,,0
Chaffey College,Rancho Cucamonga,CA,https://www.chaffey.edu,,0
Citrus College,Glendora,CA,https://www.citruscollege.edu,,0
Claremont-Mudd-Scripps,Claremont,CA,https://cmc.edu,,0
Compton College,Compton,CA,https://www.compton.edu,,0
East Los Angeles College,Monterey Park,CA,https://www.elac.edu,,0
Fullerton College,Fullerton,CA,https://www.fullcoll.edu,,0
Long Beach City College,Long Beach,CA,https://www.lbcc.edu,,0
Mt. San Antonio College,Walnut,CA,https://www.mtsac.edu,,0
Pasadena City College,Pasadena,CA,https://pasadena.edu,,0
Pomona-Pitzer Colleges,Claremont,CA,https://pomona.edu,,0
Riverside City College,Riverside,CA,https://www.rcc.edu,,0
Saddleback College,Mission Viejo,CA,https://www.saddleback.edu,,0
University of Colorado Boulder,Boulder,CO,https://www.colorado.edu,,0
Trinity College CT,Hartford,CT,https://trincoll.edu,,0
Wilmington University,New Castle,DE,https://www.wilmu.edu,,0
Eastern Florida State College,Cocoa,FL,https://www.easternflorida.edu,,0
Webber International University,Babson Park,FL,https://webber.edu,,0
Iowa Western Community College,Council Bluffs,IA,https://www.iwcc.edu,,0
Kirkwood Community College,Cedar Rapids,IA,https://kirkwood.edu,,0
Independence Community College,Independence,KS,https://www.indycc.edu,,0
Kentucky State University,Frankfort,KY,https://kysu.edu,,0
University of the Cumberlands,Williamsburg,KY,https://www.ucumberlands.edu,,0
Wheaton College MA,Norton,MA,https://wheatoncollege.edu,,0
Bethel University MN,Saint Paul,MN,https://bethel.edu,,0
Saint John's University MN,Collegeville,MN,https://csbsju.edu,,0
Coahoma Community College,Clarksdale,MS,https://www.coahomacc.edu,,0
Allen University,Columbia,SC,https://www.allenuniversity.edu,,0
Charleston Southern University,Charleston,SC,https://www.csuniv.edu,,0
Claflin University,Orangeburg,SC,https://www.claflin.edu,,0
Trinity Valley Community College,Athens,TX,https://www.tvcc.edu,,0
University of Texas Permian Basin,Odessa,TX,https://www.utpb.edu,,0
