Lake Superior State University,Women's Soccer,D2,GLIAC
Susquehanna University,Women's Soccer,D3,Centennial Conference
Dickinson College,Women's Soccer,D3,Centennial Conference
Nazareth University,Women's Soccer,D3,Empire 8 Conference
St. John Fisher University,Women's Soccer,D3,Empire 8 Conference
Stevenson University,Women's Soccer,D3,Middle Atlantic Conferences Commonwealth
Widener University,Women's Soccer,D3,Middle Atlantic Conferences Commonwealth
Lebanon Valley College,Women's Soccer,D3,Middle Atlantic Conferences Commonwealth
Concordia College,Women's Soccer,D3,Minnesota Intercollegiate Athletic Conference
Saint Mary's University of Minnesota,Women's Soccer,D3,Minnesota Intercollegiate Athletic Conference
Babson College,Women's Soccer,D3,New England Women's and Men's Athletic Conference
Wheaton College MA,Women's Soccer,D3,New England Women's and Men's Athletic Conference
William Paterson University,Women's Soccer,D3,New Jersey Athletic Conference
University of Puget Sound,Women's Soccer,D3,Northwest Conference
Whitworth University,Women's Soccer,D3,Northwest Conference
George Fox University,Women's Soccer,D3,Northwest Conference
Heidelberg University,Women's Soccer,D3,Ohio Athletic Conference
Ohio Northern University,Women's Soccer,D3,Ohio Athletic Conference
Marietta College,Women's Soccer,D3,Ohio Athletic Conference
Grove City College,Women's Soccer,D3,Presidents' Athletic Conference
Chatham University,Women's Soccer,D3,Presidents' Athletic Conference
Saint Vincent College,Women's Soccer,D3,Presidents' Athletic Conference
Waynesburg University,Women's Soccer,D3,Presidents' Athletic Conference
Geneva College,Women's Soccer,D3,Presidents' Athletic Conference
Thiel College,Women's Soccer,D3,Presidents' Athletic Conference
Bethany College WV,Women's Soccer,D3,Presidents' Athletic Conference
Millsaps College,Women's Soccer,D3,Southern Athletic Association
Whittier College,Women's Soccer,D3,Southern California Intercollegiate Athletic Conference
University of Redlands,Women's Soccer,D3,Southern California Intercollegiate Athletic Conference
SUNY New Paltz,Women's Soccer,D3,State University of New York Athletic Conference
SUNY Brockport,Women's Soccer,D3,State University of New York Athletic Conference
SUNY Plattsburgh,Women's Soccer,D3,State University of New York Athletic Conference
SUNY Oswego,Women's Soccer,D3,State University of New York Athletic Conference
Mary Baldwin University,Women's Soccer,D3,USA South Athletic Conference
Brevard College,Women's Soccer,D3,USA South Athletic Conference
William Peace University,Women's Soccer,D3,USA South Athletic Conference
Meredith College,Women's Soccer,D3,USA South Athletic Conference
Pfeiffer University,Women's Soccer,D3,USA South Athletic Conference
Reinhardt University,Women's Soccer,NAIA,Appalachian Athletic Conference
Eastern Oregon University,Women's Soccer,NAIA,Cascade Collegiate Conference
Bethel University Indiana,Women's Soccer,NAIA,Crossroads League
University of Saint Francis,Women's Soccer,NAIA,Crossroads League
Huntington University,Women's Soccer,NAIA,Crossroads League
Lewis-Clark State College,Women's Soccer,NAIA,Frontier Conference
University of Montana Western,Women's Soccer,NAIA,Frontier Conference
Montana Tech of the University of Montana,Women's Soccer,NAIA,Frontier Conference
Briar Cliff University,Women's Soccer,NAIA,Great Plains Athletic Conference
Dordt University,Women's Soccer,NAIA,Great Plains Athletic Conference
Hastings College,Women's Soccer,NAIA,Great Plains Athletic Conference
Doane University,Women's Soccer,NAIA,Great Plains Athletic Conference
MidAmerica Nazarene University,Women's Soccer,NAIA,Heart of America Athletic Conference
Mount Mercy University,Women's Soccer,NAIA,Heart of America Athletic Conference
McPherson College,Women's Soccer,NAIA,KCAC
Kansas Wesleyan University,Women's Soccer,NAIA,KCAC
Sterling College,Women's Soccer,NAIA,KCAC
University of Saint Mary,Women's Soccer,NAIA,KCAC
Southwestern College,Women's Soccer,NAIA,KCAC
University of the Cumberlands,Women's Soccer,NAIA,Mid-South Conference
Asbury University,Women's Soccer,NAIA,Mid-South Conference
University of Pikeville,Women's Soccer,NAIA,Mid-South Conference
Cumberland University,Women's Soccer,NAIA,Mid-South Conference
Campbellsville University,Women's Soccer,NAIA,Mid-South Conference
Lindsey Wilson College,Women's Soccer,NAIA,Mid-South Conference
Webber International University,Women's Soccer,NAIA,The Sun Conference
Faulkner University,Women's Soccer,NAIA,The Sun Conference
Florida Memorial University,Women's Soccer,NAIA,The Sun Conference
Keiser University,Women's Soccer,NAIA,The Sun Conference
Kirkwood Community College,Women's Soccer,NJCAA,ICCAC
Mississippi Gulf Coast Community College,Women's Soccer,NJCAA,MACCC
