North Carolina State University,Baseball,D1,ACC
Indiana University,Baseball,D1,Big Ten
University of Louisville,Baseball,D1,ACC
East Carolina University,Baseball,D1,American Athletic Conference
Princeton University,Baseball,D1,Ivy League
University of Texas at Austin,Baseball,D1,SEC
Harvard University,Baseball,D1,Ivy League
Stanford University,Baseball,D1,ACC
University of Kentucky,Baseball,D1,SEC
University of Arkansas,Baseball,D1,SEC
Mississippi State University,Baseball,D1,SEC
University of Mississippi,Baseball,D1,SEC
University of South Carolina,Football,D1,SEC
University of Georgia,Football,D1,SEC
University of Texas,Football,D1,SEC
Texas A&M University,Football,D1,SEC
Louisiana State University,Football,D1,SEC
Ohio State University,Football,D1,Big Ten
Penn State University,Football,D1,Big Ten
University of Florida,Football,D1,SEC
Florida State University,Football,D1,ACC
University of Southern California,Football,D1,Big Ten
University of Oregon,Football,D1,Big Ten
University of Washington,Football,D1,Big Ten
University of Oklahoma,Football,D1,SEC
University of Notre Dame,Football,D1,Independent
University of Colorado,Football,D1,Big 12
Arizona State University,Football,D1,Big 12
Baylor University,Football,D1,Big 12
University of Arizona,Football,D1,Big 12
University of Utah,Football,D1,Big 12
University of Kansas,Football,D1,Big 12
Kansas State University,Football,D1,Big 12
Coastal Carolina University,Football,D1,Sun Belt
Liberty University,Football,D1,Conference USA
Mississippi State University,Football,D1,SEC
University of Arkansas,Football,D1,SEC
University of Minnesota,Football,D1,Big Ten
Yale University,Football,D1,Ivy League
Northwestern University,Football,D1,Big Ten
North Dakota State University,Football,D1,Summit League
Ohio University,Football,D1,Mid-American Conference
Miami University,Football,D1,Mid-American Conference
University of Pittsburgh,Football,D1,ACC
Boston College,Football,D1,ACC
Southern Methodist University,Football,D1,ACC
Tulane University,Football,D1,American Athletic Conference
University of South Florida,Football,D1,American Athletic Conference
United States Military Academy,Football,D1,American Athletic Conference
University of Mississippi,Football,D1,SEC
University of Kentucky,Football,D1,SEC
University of Missouri,Football,D1,SEC
Syracuse University,Football,D1,ACC
University of Louisville,Football,D1,ACC
University of Connecticut,Football,D1,Independent
University of Maryland,Football,D1,Big Ten
Temple University,Football,D1,American Athletic Conference
Rutgers University-New Brunswick,Football,D1,Big Ten
United States Naval Academy,Football,D1,American Athletic Conference
Michigan State University,Football,D1,Big Ten
University of Illinois,Football,D1,Big Ten
United States Air Force Academy,Football,D1,Mountain West
Purdue University,Football,D1,Big Ten
San Diego State University,Football,D1,Mountain West
Clemson University,Football,D1,ACC
Boise State University,Football,D1,Mountain West
Duke University,Football,D1,ACC
Fresno State University,Football,D1,Mountain West
University of North Carolina at Chapel Hill,Football,D1,ACC
Colorado State University,Football,D1,Mountain West
University of Nevada Las Vegas,Football,D1,Mountain West
Marshall University,Football,D1,Sun Belt
Western Kentucky University,Football,D1,Conference USA
Ball State University,Football,D1,Mid-American Conference
James Madison University,Football,D1,Sun Belt
Appalachian State University,Football,D1,Sun Belt
North Carolina State University,Football,D1,ACC
University of Alabama,Football,D1,SEC
University of Michigan,Football,D1,Big Ten
University of Iowa,Football,D1,Big Ten
Indiana University,Football,D1,Big Ten
University of Nebraska,Football,D1,Big Ten
UCLA,Football,D1,Big Ten
University of Miami,Football,D1,ACC
Princeton University,Football,D1,Ivy League
Harvard University,Football,D1,Ivy League
University of Alabama at Birmingham,Football,D1,American Athletic Conference
Texas Tech University,Football,D1,Big 12
Oklahoma State University,Football,D1,Big 12
University of Cincinnati,Football,D1,Big 12
University of Tennessee,Football,D1,SEC
Auburn University,Football,D1,SEC
Vanderbilt University,Football,D1,SEC
University of Texas at Austin,Football,D1,SEC
Stanford University,Football,D1,ACC
University of Memphis,Football,D1,American Athletic Conference
University of Toledo,Football,D1,Mid-American Conference
University of Wisconsin-Madison,Football,D1,Big Ten
Western Michigan University,Football,D1,Mid-American Conference
University of Hawaii at Manoa,Football,D1,Mountain West
University of Texas at San Antonio,Football,D1,American Athletic Conference
Rice University,Football,D1,American Athletic Conference
University of Tulsa,Football,D1,American Athletic Conference
Florida Atlantic University,Football,D1,American Athletic Conference
Old Dominion University,Football,D1,Sun Belt
University of Missouri,Men's Basketball,D1,SEC
Indiana University,Men's Basketball,D1,Big Ten
Rutgers University-New Brunswick,Men's Basketball,D1,Big Ten
University of Nebraska,Men's Basketball,D1,Big Ten
Michigan State University,Men's Basketball,D1,Big Ten
UCLA,Men's Basketball,D1,Big Ten
University of Illinois,Men's Basketball,D1,Big Ten
North Carolina State University,Men's Basketball,D1,ACC
Yale University,Men's Basketball,D1,Ivy League
Princeton University,Men's Basketball,D1,Ivy League
Harvard University,Men's Basketball,D1,Ivy League
University of Arkansas,Men's Basketball,D1,SEC
University of Minnesota,Men's Basketball,D1,Big Ten
Stanford University,Men's Basketball,D1,ACC
University of Michigan,Men's Basketball,D1,Big Ten
Duke University,Men's Basketball,D1,ACC
University of Louisville,Men's Basketball,D1,ACC
Boston College,Men's Basketball,D1,ACC
Syracuse University,Men's Basketball,D1,ACC
University of Pittsburgh,Men's Basketball,D1,ACC
Southern Methodist University,Men's Basketball,D1,ACC
University of Connecticut,Men's Basketball,D1,Independent
University of Memphis,Men's Basketball,D1,American Athletic Conference
University of Mississippi,Men's Basketball,D1,SEC
University of Kentucky,Men's Basketball,D1,SEC
Indiana University,Men's Soccer,D1,Big Ten
Stanford University,Men's Soccer,D1,ACC
University of Mississippi,Softball,D1,SEC
University of Kentucky,Softball,D1,SEC
University of Arkansas,Softball,D1,SEC
University of Missouri,Softball,D1,SEC
University of Minnesota,Softball,D1,Big Ten
Indiana University,Softball,D1,Big Ten
University of Nebraska,Softball,D1,Big Ten
University of Illinois,Softball,D1,Big Ten
Florida Atlantic University,Softball,D1,American Athletic Conference
Princeton University,Softball,D1,Ivy League
Harvard University,Softball,D1,Ivy League
Mississippi State University,Softball,D1,SEC
UCLA,Softball,D1,Big Ten
Stanford University,Softball,D1,ACC
University of Texas at Austin,Softball,D1,SEC
Boston College,Women's Basketball,D1,ACC
University at Buffalo,Women's Basketball,D1,Mid-American Conference
Duke University,Women's Basketball,D1,ACC
UCLA,Women's Basketball,D1,Big Ten
Indiana University,Women's Basketball,D1,Big Ten
Stanford University,Women's Basketball,D1,ACC
University of Connecticut,Women's Basketball,D1,Independent
University of Louisville,Women's Basketball,D1,ACC
Mississippi State University,Women's Basketball,D1,SEC
University of Mississippi,Women's Basketball,D1,SEC
University of Kentucky,Women's Basketball,D1,SEC
University of Nebraska,Women's Basketball,D1,Big Ten
Michigan State University,Women's Basketball,D1,Big Ten
Rutgers University-New Brunswick,Women's Basketball,D1,Big Ten
University of Minnesota,Women's Basketball,D1,Big Ten
University of Missouri,Women's Basketball,D1,SEC
University of Arkansas,Women's Basketball,D1,SEC
University of Illinois,Women's Basketball,D1,Big Ten
Tulane University,Women's Basketball,D1,American Athletic Conference
University of South Florida,Women's Basketball,D1,American Athletic Conference
Temple University,Women's Basketball,D1,American Athletic Conference
Southern Methodist University,Women's Basketball,D1,ACC
Syracuse University,Women's Basketball,D1,ACC
University of Miami,Women's Basketball,D1,ACC
North Carolina State University,Women's Basketball,D1,ACC
University of Pittsburgh,Women's Basketball,D1,ACC
Princeton University,Women's Basketball,D1,Ivy League
Harvard University,Women's Basketball,D1,Ivy League
University of Toledo,Women's Basketball,D1,Mid-American Conference
Ball State University,Women's Basketball,D1,Mid-American Conference
Ohio University,Women's Basketball,D1,Mid-American Conference
South Dakota State University,Women's Basketball,D1,Summit League
University of Northern Iowa,Women's Basketball,D1,Missouri Valley Football Conference
University of Dayton,Women's Basketball,D1,Pioneer Football League
University of Louisville,Women's Soccer,D1,ACC
Southern Methodist University,Women's Soccer,D1,ACC
United States Naval Academy,Women's Soccer,D1,American Athletic Conference
Rutgers University-New Brunswick,Women's Soccer,D1,Big Ten
University of Connecticut,Women's Soccer,D1,Independent
Indiana University,Women's Soccer,D1,Big Ten
University of South Florida,Women's Soccer,D1,American Athletic Conference
Michigan State University,Women's Soccer,D1,Big Ten
Stanford University,Women's Soccer,D1,ACC
University of Nebraska,Women's Soccer,D1,Big Ten
University of Minnesota,Women's Soccer,D1,Big Ten
Boston College,Women's Soccer,D1,ACC
University of Arkansas,Women's Soccer,D1,SEC
University of Missouri,Women's Soccer,D1,SEC
University of Kentucky,Women's Soccer,D1,SEC
UCLA,Women's Soccer,D1,Big Ten
Indiana University of Pennsylvania,Baseball,D2,PSAC
Northwest Missouri State University,Baseball,D2,MIAA
Minnesota State University Mankato,Baseball,D2,NSIC
Harding University,Baseball,D2,Great American Conference
Catawba College,Baseball,D2,South Atlantic Conference
Ashland University,Baseball,D2,G-MAC
Sonoma State University,Baseball,D2,CCAA
Lincoln Memorial University,Baseball,D2,South Atlantic Conference
Arkansas Tech University,Baseball,D2,Great American Conference
Angelo State University,Baseball,D2,Lone Star Conference
North Greenville University,Baseball,D2,Conference Carolinas
West Virginia State University,Football,D2,Mountain East Conference
University of Sioux Falls,Football,D2,NSIC
Concord University,Football,D2,Mountain East Conference
Northwest Missouri State University,Football,D2,MIAA
Kutztown University,Football,D2,PSAC
Tuskegee University,Football,D2,SIAC
